"spotify.id","name","genre","wikipedia.id","start.activity","popularity","followers"
"3RGGIzGlZwtjzuwoZz8EjG","Canzoniere delle Lame","Folk",1098379,1967,6,236
"3CQmu96Xs4NKM3STgRvMnl","Canzoniere di Terra d'Otranto","Pizzica",5266968,1991,0,21
"2Y7721aybQmSotu1mPBJD1","Canzoniere Grecanico Salentino","Pizzica",1225038,1975,22,4268
"4l0PmbNvFq3m5JaUuAPbcB","Caparezza","Alternative hip hop",125006,1995,58,323674
"0NPwkUJRrRiWYdHpLXBkxg","Cappella","Italo house",714941,1987,40,14586
"6xsmUtLqJMHYCVFyvUvLsF","Capricorn College","Rock progressivo",2650075,1969,0,19
"4hYYJjx2fRzwdry8RW0IfZ","Capsicum Red","Rock progressivo",208743,1970,0,146
"6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco 126","Hip hop",6635907,2016,62,168748
"2J7iEpAkPqe41okCsm4Ja5","Carla Boni","Musica leggera",92966,1947,19,524
"2X9ZzmPwihIKKf2hIFfPyX","Carlo Buti","Musica leggera",923241,1928,28,1468
"4NWPwgMqQLVKNx0YRvHY1r","Carlo Faiello","Canzone napoletana",2807243,1984,1,45
"6rlkJjrgF18LfuG6pTJQhh","Carlo Marrale","Synth pop",101592,NA,4,35
"7d8GOFdFr1bhLmVU1AMGDj","Carlotta","Pop",1312586,1994,6,69
"1mIGBbnfacRjxiO1dHVgT7","Carmelo Zappulla","Canzone napoletana",921435,1978,26,5113
"0PDUUQbKmioC7OvPWhQzo7","Casa del vento","Combat folk",365746,1991,10,1997
"1OavCVgu5jGDNw4YVNkfgK","Casino Royale","Trip hop",661188,1987,24,6224
"19tdzR0mBQe9NrCyXvzw3p","Caterina Caselli","Pop",100400,1964,37,8921
"6U43w7qaIwFTlbJWuLiBrf","Caterina Valente","Pop",1292631,1936,34,6386
"7m396NnSHkfdjpGfk0kxCg","Cattive Abitudini","Punk rock",487879,2004,14,1491
"2hWZi8Bag8rYRFfmE7FfYc","Cattivi Pensieri","Pop",2586072,1994,4,112
"0VbUbw58jB5hpnWdWMB3AJ","Cecco e Cipo","Musica d'autore",5620229,2009,21,9197
"2xlleiPNJRE2KlzUbIr6UQ","Cecilia Chailly","Musica acustica",1441705,NA,27,686
"7xpCcqbco7QJYDnI4qumgr","Cesare Basile","Rock",1116048,1987,12,2134
"396Jr76018oUMR6QBnqT8T","Cesare Cremonini","Pop",2903673,1999,61,312871
"1XIuL3JJtNxEfkWwktqKSe","Cesare Malfatti","Indie rock",3695647,1986,2,169
"2fJ2vi4PUSxyvYaeq0FTbE","Change","Italo disco",1915573,1979,45,32529
"4puO14nmOkHnVi5f9p9c0c","Charlie Cinelli","Folk",1136703,1981,8,472
"1kOYFM5bc3spgNEetlhE5w","Cheap Wine","Rock",4183174,1990,9,392
"6OXLTTGllyWPisG1HvYpak","Cheetah Chrome Motherfuckers","Hardcore punk",4290992,1979,2,144
"6VEn4dZgdOLKaThc612c8z","Chewingum","Pop",4039644,2006,11,1003
"4kVBW3oggjJ8epz4NWIGfk","Chiara Civello","Jazz",1403972,2002,36,7635
"2hpVM9OllNOlwBjBCbQgdf","Chiara Iezzi","Pop",95208,1994,1,235
"6OC2ADo5pa6i4vVt0KqbKz","Christian De Sica","Swing",137789,1972,5,583
"0wFpvCpfmScguj1EoJeoe6","Christine Plays Viola","Darkwave",7504587,2008,9,709
"1gBvEXhHCfWCrDwUhsMlBV","Chromosomes","Punk rock",606027,1993,1,32
"3fSzLbm3JSq4HnI3YUSOHF","Ciro Formisano",NA,1859924,NA,0,2
"3O0Mg4SG77p7gJa3v7Jjm0","Clan Greco","Jazz",3414635,1998,17,399
"1o6T2jP2ue4fRjONGz4c0c","Clara Jaione","Melodica",778850,1947,1,86
"1xIa0kM33TSTfQvIeC7Ib8","Clara Moroni","Musica d'autore",1865528,1986,3,140
"3rXJOlQbim2cC6I7wxAlrb","Claude Barzotti","Pop",762171,1981,39,20100
"2Q2gWryILiZe1La0UJVIok","Claudia Megrè","Pop",6142649,2011,17,1954
"2qIpCwNzQkl4ncBjGUjHQ2","Claudio Chieffo","Musica d'autore",569104,1960,17,1629
"6UsINMxRiRB0qBCqM4Smeh","Claudio Fucci","Pop",10365,NA,0,8
"6x919AU6p0wfsUAdWV6M5K","Claudio Lolli","Musica d'autore",97206,1972,21,5091
"56eHbjNMc8rvcWrBFA7lWk","Claudio Sanfilippo",NA,5051618,NA,4,107
"2r4iOKmxTQU9s361Yt3gq1","Claudio Villa","Pop",92853,1944,35,8898
"4dyfAiJCbl7jS1GHOCdiJv","Club Dogo","Hardcore hip hop",322647,2002,52,181970
"5mNY0NPszdalbrb4ITO3M8","Cluster","A cappella",1800349,2005,32,14531
"1Pc6myra4XAEMjHzclAtAL","Co'Sang","Hardcore hip hop",500173,1997,37,28574
"3jjYLkk1dnOsiEdKWg3foO","Cochi e Renato","Musica demenziale",483127,1964,24,4318
"5dXlc7MnpaTeUIsHLVe3n4","Coez","Pop rap",4538599,2002,69,739894
"4OUU6LcfZ795unswMN56cT","Collage","Pop melodico",114989,1971,28,3713
"7582dstv99hhZhryUNCn3u","Colle der Fomento","Hardcore hip hop",52693,1994,35,44051
"6C0zKR4CM0ZHxlD1jBamKn","Come le foglie","Folk rock",3119356,1967,0,24
"6ev6W8EM8YyVypH9bZEAtZ","Concetta Barra","Canzone napoletana",672198,NA,1,115
"2PhMbUb85QYren1M8krDdj","Concido","Rock",390078,2002,0,9
"1FKZS0Ok1NEwsn94hhVaFY","Confusional Quartet","New wave",235362,1979,1,159
"7FBYcnhzP1ZSOIk3NmY1wK","Contrasto","Hardcore punk",3860615,1996,0,31
"4n5AxBPiYOJltdOXHYQdnV","Contrazione","Hardcore punk",4661105,1983,0,44
"2OFhu1uXhK8gutkt7QcF2R","Cor Veleno","Hardcore hip hop",224720,1993,33,25242
"7HKbEjqCNeutG1GwLi59mn","Cordas et Cannas","Folk",7537651,1978,1,177
"2GjsEox2Zh6hdrFGq8EbUF","Corde Oblique","Neofolk",2336204,2005,13,2196
"26T6b8maqEVltcmE4kSDUl","Corona","Eurodance",426541,1993,54,51341
"7pZqRpO3dfJYCuLEFNpt2y","Corrado Lojacono","Musica leggera",1089122,1945,2,12
"2AQvXFYn4w3D1cxW77VKmT","Corte dei Miracoli","Rock progressivo",4013644,1973,4,168
"4C6fXZ7soCX4ycsXguZ1zE","Cosmetic","Rock alternativo",4350587,2000,12,2617
"6ycskcrITDzDjSurMGMSqK","Court","Rock alternativo",3777379,1990,0,4
"2ABQVj6lXu0Zf7rxC3vrAN","Cricca Dei Balordi","Hip hop",383109,1996,7,1084
"45yTJbNrzxQuEhROhLvOOV","Crifiu","Rock elettronico",5766858,2001,19,2031
"3uhMuiVJ7kHUTpPieivp1n","Criminal Jokers","Indie rock",4450124,2006,10,1425
"5rMvvaFkWCWpfMSV4Gm93M","Cripple Bastards","Grindcore",297614,1988,16,5275
"1IPsn7d84HQ5V311bDHNrq","Cristina D'Avena","Sigla musicale",24399,1981,45,35550
"1fNXGZAOznH5ZLBkY8tAxZ","Cristina Zavalloni","Jazz",3525195,1981,7,313
"0zY7OdvThln9h3z5rDnMEv","Crivel","Musica leggera",1807932,1915,6,135
"3o1cwVQfiDWafhYA02k13C","Crookers","Fidget house",2068649,2003,48,61319
"0t3buioOaR6cXcZJdxXM25","Crummy Stuff","Punk rock",338932,1994,3,118
"22z0tVpiv6LNYiPLxXoQKq","Crying Steel","Heavy metal",2361154,1981,8,174
"2eV9iCvgHC2bMKjHCFXTam","Custodie Cautelari","Rock",4580752,1993,1,66
"1DXpTNVKDAgiVASC4e5PPr","Da Blitz","Eurodance",1282193,1994,17,881
"2XfQYDQhiAeteWSb1fYpR3","Dadamatto","Post-punk",4038035,2004,3,469
"04aQfpx1U1WQEJkrvGs4ig","Dalida","Musica leggera",5532893,1953,49,68195
"2L8bNIg5B4ntB6EYwmzkfm","Daniela Goggi","Musica leggera",1351105,1970,11,221
"3Ds6rWYCFd2xLZ2kx8pWw5","Daniele Brusaschetto","Musica d'autore",3409281,1990,0,17
"1LrCNlHQT6NZ0S03HLesZ8","Daniele Ronda","Folk",4313498,2003,8,652
"1KdHZIUSvDL2OHWL40PzyK","Daniele Serra","Musica leggera",6382412,1909,4,43
"6q8f3fxaWqkXzkbxtKOzYF","Daniele Silvestri","Pop rock",102461,1994,48,97305
"3cO4E8lUJ7ltfrPIcZPu4E","Daniele Stefani","Pop",4627142,2002,7,322
"4u3o4oB0OYFJ6TADru6rYS","Danilo Amerio","Pop",1498835,1992,9,125
"4iEUeWRY8Tt4KVZvh8Kp92","Danilo Sacco","Rock",221626,1987,6,673
"5KUF8dA0Of4TeWKMwAjyWc","Dante Meschiari",NA,6050248,NA,0,28
"5qqKkW8y9BPVgy1EKBa5Bl","Dari","Emo-pop",2375585,2004,23,3641
"32kHdE3Tu65ERimqVLUqVA","Dario Baldan Bembo","Pop",112032,1966,23,941
"7lVwYGP0t5SApN5pk68wMv","Dario Gay","Pop",1726812,1987,0,25
